市场代码,合约代码,Date,最新,持仓,增仓,成交额,Volume,开仓,平仓,成交类型,方向,买一价,Close,买一量,卖一量
DC,a2403,2024-01-29 10:13:52.895,4650.0000,188717,1,46500.0000,1,1,0,双开,S,4650.0000,4651.0000,18,32
DC,a2403,2024-01-29 10:13:54.296,4650.0000,188718,1,46500.0000,1,1,0,双开,S,4650.0000,4651.0000,17,32
DC,a2403,2024-01-29 10:13:57.335,4650.0000,188718,0,46500.0000,1,0,1,多换,S,4650.0000,4651.0000,19,27
DC,a2403,2024-01-29 10:13:59.308,4650.0000,188743,25,1302180.0000,28,26,2,空开,S,4650.0000,4651.0000,27,2
DC,a2403,2024-01-29 10:14:00.313,4651.0000,188743,0,46510.0000,1,0,1,空换,B,4650.0000,4651.0000,31,1
DC,a2403,2024-01-29 10:14:01.673,4650.0000,188744,1,46500.0000,1,1,0,双开,S,4650.0000,4651.0000,32,7
DC,a2403,2024-01-29 10:14:02.543,4651.0000,188744,0,46510.0000,1,0,1,空换,B,4650.0000,4651.0000,32,7
DC,a2403,2024-01-29 10:14:03.256,4650.0000,188745,1,46500.0000,1,1,0,双开,S,4650.0000,4651.0000,31,7
DC,a2403,2024-01-29 10:14:05.614,4650.0000,188745,0,46500.0000,1,0,1,多换,S,4650.0000,4651.0000,32,10
DC,a2403,2024-01-29 10:14:08.898,4651.0000,188755,10,604630.0000,13,11,2,空开,S,4651.0000,4652.0000,14,17
DC,a2403,2024-01-29 10:14:09.238,4651.0000,188756,1,511610.0000,11,6,5,空开,S,4651.0000,4652.0000,3,24
DC,a2403,2024-01-29 10:14:09.660,4651.0000,188756,0,139530.0000,3,1,2,空换,B,4650.0000,4651.0000,35,2
DC,a2403,2024-01-29 10:14:10.694,4652.0000,188771,15,930350.0000,20,17,3,多开,B,4650.0000,4652.0000,29,10
DC,a2403,2024-01-29 10:14:11.184,4651.0000,188770,-1,325570.0000,7,3,4,空平,B,4650.0000,4651.0000,30,3
DC,a2403,2024-01-29 10:14:12.661,4651.0000,188770,0,186040.0000,4,2,2,空换,B,4650.0000,4652.0000,40,16
DC,a2403,2024-01-29 10:14:15.822,4652.0000,188774,4,418680.0000,9,6,3,空开,S,4652.0000,4653.0000,11,16
DC,a2403,2024-01-29 10:14:16.216,4652.0000,188774,0,93040.0000,2,1,1,多换,S,4652.0000,4653.0000,10,18
DC,a2403,2024-01-29 10:14:16.886,4653.0000,188774,0,46530.0000,1,0,1,空换,B,4652.0000,4653.0000,10,19
DC,a2403,2024-01-29 10:14:17.174,4652.0000,188775,1,46520.0000,1,1,0,双开,S,4652.0000,4653.0000,9,19
DC,a2403,2024-01-29 10:14:18.409,4652.0000,188775,0,46520.0000,1,0,1,多换,S,4652.0000,4653.0000,8,19
DC,a2403,2024-01-29 10:14:19.663,4652.0000,188777,2,93040.0000,2,2,0,双开,S,4652.0000,4653.0000,9,20
DC,a2403,2024-01-29 10:14:20.664,4652.0000,188779,2,418680.0000,9,5,4,多开,B,4651.0000,4652.0000,34,8
DC,a2403,2024-01-29 10:14:29.385,4651.0000,188783,4,186040.0000,4,4,0,双开,S,4651.0000,4652.0000,28,6
DC,a2403,2024-01-29 10:14:29.661,4652.0000,188793,10,465110.0000,10,10,0,双开,B,4651.0000,4652.0000,18,5
DC,a2403,2024-01-29 10:14:40.843,4652.0000,188793,0,46520.0000,1,0,1,空换,B,4651.0000,4652.0000,20,7
DC,a2403,2024-01-29 10:14:45.086,4652.0000,188793,0,46520.0000,1,0,1,空换,B,4651.0000,4652.0000,22,6
DC,a2403,2024-01-29 10:14:47.478,4651.0000,188793,0,465100.0000,10,5,5,多换,S,4651.0000,4652.0000,21,4
DC,a2403,2024-01-29 10:14:49.313,4652.0000,188784,-9,976720.0000,21,6,15,空平,B,4651.0000,4652.0000,6,19
DC,a2403,2024-01-29 10:14:51.660,4651.0000,188784,0,279060.0000,6,3,3,空换,B,4650.0000,4651.0000,39,4
DC,a2403,2024-01-29 10:14:54.283,4651.0000,188782,-2,139530.0000,3,0,3,空平,B,4650.0000,4651.0000,36,2
DC,a2403,2024-01-29 10:14:56.136,4650.0000,188776,-6,465000.0000,10,2,8,多平,S,4650.0000,4651.0000,26,2
DC,a2403,2024-01-29 10:14:58.160,4651.0000,188775,-1,46510.0000,1,0,1,双平,B,4650.0000,4651.0000,26,2
DC,a2403,2024-01-29 10:14:59.765,4651.0000,188777,2,139530.0000,3,2,1,空开,S,4651.0000,4652.0000,1,18
DC,a2403,2024-01-29 10:30:00.259,4651.0000,188778,1,93020.0000,2,1,1,多开,B,4650.0000,4651.0000,37,2
DC,a2403,2024-01-29 10:30:00.793,4650.0000,188781,3,232530.0000,5,4,1,空开,S,4650.0000,4652.0000,28,20
DC,a2403,2024-01-29 10:30:01.353,4651.0000,188792,11,651010.0000,14,12,2,多开,B,4650.0000,4651.0000,14,5
DC,a2403,2024-01-29 10:30:01.843,4650.0000,188796,4,604500.0000,13,8,5,空开,S,4650.0000,4651.0000,19,16
DC,a2403,2024-01-29 10:30:02.367,4651.0000,188793,-3,883510.0000,19,8,11,空平,B,4650.0000,4651.0000,11,22
DC,a2403,2024-01-29 10:30:02.883,4650.0000,188793,0,139500.0000,3,1,2,多换,S,4650.0000,4651.0000,8,25
DC,a2403,2024-01-29 10:30:03.333,4649.0000,188794,1,697470.0000,15,8,7,空开,S,4649.0000,4650.0000,39,2
DC,a2403,2024-01-29 10:30:03.668,4649.0000,188793,-1,92990.0000,2,0,2,多平,S,4649.0000,4650.0000,35,15
DC,a2403,2024-01-29 10:30:04.161,4650.0000,188792,-1,46500.0000,1,0,1,双平,B,4649.0000,4650.0000,35,12
DC,a2403,2024-01-29 10:30:04.871,4650.0000,188792,0,46500.0000,1,0,1,空换,B,4649.0000,4650.0000,35,12
DC,a2403,2024-01-29 10:30:05.357,4650.0000,188791,-1,46500.0000,1,0,1,双平,B,4649.0000,4650.0000,38,11
DC,a2403,2024-01-29 10:30:05.778,4650.0000,188795,4,325490.0000,7,5,2,多开,B,4649.0000,4650.0000,37,6
